,0,1,2,3,4,5,location,area,classification,salary
827,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=7c0d0ee4-7054-4e55-b6b5-024038c03f39,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
828,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=7c0d0ee4-7054-4e55-b6b5-024038c03f39,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
829,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=7c0d0ee4-7054-4e55-b6b5-024038c03f39,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
830,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=7c0d0ee4-7054-4e55-b6b5-024038c03f39,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
831,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=7c0d0ee4-7054-4e55-b6b5-024038c03f39,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
832,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=d1789f84-5263-4257-a414-905a6fcc86a5,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration,"WellingtonWellington,Attractive remuneration",,Attractive remuneration,
833,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=d1789f84-5263-4257-a414-905a6fcc86a5,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
834,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=d1789f84-5263-4257-a414-905a6fcc86a5,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,WaikatoWaikato, Rest of WaikatoRest of Waikato, Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,
835,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=d1789f84-5263-4257-a414-905a6fcc86a5,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
836,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=d1789f84-5263-4257-a414-905a6fcc86a5,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate,WellingtonWellington," Wellington CentralWellington Central,Competitive hourly rate",Competitive hourly rate,
837,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=d1789f84-5263-4257-a414-905a6fcc86a5,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
838,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=d1789f84-5263-4257-a414-905a6fcc86a5,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
839,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=d1789f84-5263-4257-a414-905a6fcc86a5,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
840,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,NorthlandNorthland, Rest of NorthlandRest of Northland, Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,
841,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,ManawatuManawatu, Rest of ManawatuRest of Manawatu, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
842,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington, Wellington CentralWellington Central," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
843,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
844,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
845,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
846,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
847,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
848,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
849,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
850,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
851,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience,AucklandAuckland," Auckland CentralAuckland Central,Competitive hourly rate depending on experience",Competitive hourly rate depending on experience,
852,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
853,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
854,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
855,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
856,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
857,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
858,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
859,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=26581fea-8725-4b7a-8985-3971fa7d96c8,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
860,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=ec260ad1-0f3b-4461-bd62-38906e4cf479,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration,"WellingtonWellington,Attractive remuneration",,Attractive remuneration,
861,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=ec260ad1-0f3b-4461-bd62-38906e4cf479,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
862,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=ec260ad1-0f3b-4461-bd62-38906e4cf479,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,WaikatoWaikato, Rest of WaikatoRest of Waikato, Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,
863,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=ec260ad1-0f3b-4461-bd62-38906e4cf479,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
864,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=ec260ad1-0f3b-4461-bd62-38906e4cf479,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate,WellingtonWellington," Wellington CentralWellington Central,Competitive hourly rate",Competitive hourly rate,
865,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=ec260ad1-0f3b-4461-bd62-38906e4cf479,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
866,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=ec260ad1-0f3b-4461-bd62-38906e4cf479,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
867,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=ec260ad1-0f3b-4461-bd62-38906e4cf479,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
868,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,NorthlandNorthland, Rest of NorthlandRest of Northland, Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,
869,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,ManawatuManawatu, Rest of ManawatuRest of Manawatu, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
870,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington, Wellington CentralWellington Central," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
871,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
872,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
873,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
874,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
875,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
876,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
877,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
878,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
879,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience,AucklandAuckland," Auckland CentralAuckland Central,Competitive hourly rate depending on experience",Competitive hourly rate depending on experience,
880,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
881,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
882,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
883,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
884,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
885,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
886,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
887,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=26aef3a2-bb7f-4389-9867-a81143d8bfc1,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
888,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=f30c8648-fd1e-4cc0-a8f8-636d29142789,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration,"WellingtonWellington,Attractive remuneration",,Attractive remuneration,
889,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=f30c8648-fd1e-4cc0-a8f8-636d29142789,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
890,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=f30c8648-fd1e-4cc0-a8f8-636d29142789,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,WaikatoWaikato, Rest of WaikatoRest of Waikato, Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,
