,job_name,job_link,post_date,area,location,classification,sub_classification,salary
343,Administrator - Executive Office,https://www.seek.co.nz/job/50551076?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-04-30,Timaru & South Canterbury,Canterbury,Administration & Office Support,"PA, EA & Secretarial",
344,Aces Administrator,https://www.seek.co.nz/job/50573276?type=standard#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-05,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
345,Office Coordinator / Pa,https://www.seek.co.nz/job/50596153?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-08,Wellington Central,Wellington,Administration & Office Support,Office Management,
346,Finance And Administration Manager,https://www.seek.co.nz/job/50601675?type=standard#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-10,Hamilton,Waikato,,,"$55,000 - $64,999"
347,Student Administrator,https://www.seek.co.nz/job/50576824?type=standard#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-05,Napier,Hawkes Bay,Administration & Office Support,Administrative Assistants,
348,Resource And Information Coordinator,https://www.seek.co.nz/job/50591802?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-07,Wellington Central,Wellington,Administration & Office Support,Records Management & Document Control,
349,Part Time Admin And Glazier,https://www.seek.co.nz/job/50546400?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-04-30,Manukau & East Auckland,Auckland,,,$20 - $25 per hour
350,Client Services Administrator,https://www.seek.co.nz/job/50564579?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-04,Wellington Central,Wellington,Administration & Office Support,Client & Sales Administration,
351,Assurance Administrator,https://www.seek.co.nz/job/50587281?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-06,,Wellington,Administration & Office Support,Other,
352,Maintenance Admin Extraordinaire,https://www.seek.co.nz/job/50576312?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-05,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
353,Legal Receptionist/Assistant,https://www.seek.co.nz/job/50621836?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-13,Waitakere & West Auckland,Auckland,Administration & Office Support,Receptionists,
354,Personal Assistant To Managing Director,https://www.seek.co.nz/job/50576508?type=standard#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-05,Auckland Central,Auckland,Administration & Office Support,"PA, EA & Secretarial",
355,Customer Solutions Associate,https://www.seek.co.nz/job/50632627?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-14,Wellington Central,Wellington,Administration & Office Support,Client & Sales Administration,
356,Personal Assistant,https://www.seek.co.nz/job/50587169?type=standard#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-06,Christchurch,Canterbury,Administration & Office Support,"PA, EA & Secretarial",
357,Accounts Administrator,https://www.seek.co.nz/job/50567322?type=standard#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-04,Christchurch,Canterbury,Administration & Office Support,Other,
358,Accounts / Office Assistant,https://www.seek.co.nz/job/50541099?type=standard#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-04-29,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
359,Accounts And Office Assistant,https://www.seek.co.nz/job/50564208?type=standout#searchRequestToken=319db323-4736-4c4e-9d79-f63c8e7c7800,2023-05-04,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
360,Accounts And Office Assistant,https://www.seek.co.nz/job/50564208?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-04,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
361,Customer Care Specialist,https://www.seek.co.nz/job/50567084?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-04,Rodney & North Shore,Auckland,Administration & Office Support,Receptionists,
362,Technical Administrator,https://www.seek.co.nz/job/50567292?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-04,Papakura & Franklin,Auckland,Administration & Office Support,Administrative Assistants,
363,Pa Admin Support To Brand Manager,https://www.seek.co.nz/job/50560677?type=standard#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-03,Christchurch,Canterbury,Administration & Office Support,"PA, EA & Secretarial",
364,Office Administrator,https://www.seek.co.nz/job/50519120?type=standard#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-04-26,Rest of Waikato,Waikato,Administration & Office Support,Administrative Assistants,
365,Finance Administrator,https://www.seek.co.nz/job/50574259?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-05,Thames & Coromandel,Waikato,Administration & Office Support,Administrative Assistants,
366,Sales Team Support And Customer Service,https://www.seek.co.nz/job/50601968?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-10,Rodney & North Shore,Auckland,Administration & Office Support,Client & Sales Administration,
367,Candidate Manager / Administrator,https://www.seek.co.nz/job/50600635?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-10,Wellington Central,Wellington,Administration & Office Support,Client & Sales Administration,
368,Commercial Support Coordinator,https://www.seek.co.nz/job/50597477?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-10,Rodney & North Shore,Auckland,Administration & Office Support,Administrative Assistants,
369,Executive Assistant,https://www.seek.co.nz/job/50577032?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-05,Auckland Central,Auckland,Administration & Office Support,"PA, EA & Secretarial",
370,"Coordinator, Government Services",https://www.seek.co.nz/job/50591250?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-07,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
371,Executive Assistant To Deputy Director,https://www.seek.co.nz/job/50605566?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-11,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
372,Licensing & Purchasing Officer,https://www.seek.co.nz/job/50600910?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-10,,Wellington,Administration & Office Support,Administrative Assistants,
373,Service Support Administrator,https://www.seek.co.nz/job/50550690?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-04-30,Thames & Coromandel,Waikato,Administration & Office Support,Administrative Assistants,
374,Operations Manager - Property Services,https://www.seek.co.nz/job/50629625?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-14,Auckland Central,Auckland,Administration & Office Support,Office Management,
375,Property Management Administrator,https://www.seek.co.nz/job/50562000?type=standout#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-03,Thames & Coromandel,Waikato,Administration & Office Support,Administrative Assistants,
376,Maintenance Systems Support,https://www.seek.co.nz/job/50597777?type=standard#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-10,Manukau & East Auckland,Auckland,Administration & Office Support,Other,
377,Campus Support,https://www.seek.co.nz/job/50579997?type=standard#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-06,Rest of Northland,Northland,Administration & Office Support,Receptionists,
378,Case Support Officer,https://www.seek.co.nz/job/50579361?type=standard#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-05,,Manawatu,Administration & Office Support,Administrative Assistants,
379,Executive Assistant,https://www.seek.co.nz/job/50567813?type=standard#searchRequestToken=3b285d20-633f-4b9f-a4e6-0a540320bbd7,2023-05-04,Rest of Taranaki,Taranaki,,,$20 - $24.99 per hour
380,Site Administrator,https://www.seek.co.nz/job/50585036?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-06,Wellington Central,Wellington,,,
381,"Volunteer Engagement Advisor - 16 Hours Per Week, Newtown Based",https://www.seek.co.nz/job/50621252?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-13,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
382,"Performance, Reporting And Assurance Coordinator (Permanent Full-Time)",https://www.seek.co.nz/job/50587955?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-07,Wellington Central,Wellington,Administration & Office Support,Other,
383,Customer Service Representative,https://www.seek.co.nz/job/50621023?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-13,,Auckland,Administration & Office Support,Administrative Assistants,
384,Technology Support Coordinator,https://www.seek.co.nz/job/50606032?type=standard#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-11,Auckland Central,Auckland,,,$30 - $38 p.h. + 8% Holiday Pay
385,Client Liaison,https://www.seek.co.nz/job/50580821?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-06,New Plymouth,Taranaki,Administration & Office Support,Client & Sales Administration,
386,Guarantee'S Administrator,https://www.seek.co.nz/job/50615927?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-12,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
387,Administration Coordinator,https://www.seek.co.nz/job/50576110?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-05,Tauranga,Bay of Plenty,Administration & Office Support,Administrative Assistants,
388,Two Fixed Term Kaimahi Positions,https://www.seek.co.nz/job/50575265?type=standard#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-05,Rest of Hawkes Bay,Hawkes Bay,Administration & Office Support,Administrative Assistants,
389,Asphalt Plant Junior Administrator,https://www.seek.co.nz/job/50559399?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-03,Rest of Wellington Region,Wellington,Administration & Office Support,Office Management,
390,Pa,https://www.seek.co.nz/job/50636342?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-14,Hamilton,Waikato,Administration & Office Support,"PA, EA & Secretarial",
391,Data Entry Administrator - Expressions Of Interest,https://www.seek.co.nz/job/50605227?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-11,,Wellington,Administration & Office Support,Data Entry & Word Processing,
392,Fm Contracts Coordinator,https://www.seek.co.nz/job/50628673?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-14,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
393,Office Manager/Administrator,https://www.seek.co.nz/job/50552539?type=standard#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-04-30,Blenheim,Marlborough,,,"$45-$55,000"
394,Administrator,https://www.seek.co.nz/job/50535136?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-04-28,Papakura & Franklin,Auckland,Administration & Office Support,Administrative Assistants,
395,Regional Contracts Assistant,https://www.seek.co.nz/job/50583170?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-06,Wellington Central,Wellington,Administration & Office Support,Client & Sales Administration,
396,Receptionist,https://www.seek.co.nz/job/50520510?type=standard#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Receptionists,
397,Sales Executive - Direct (South Island),https://www.seek.co.nz/job/50631544?type=standout#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-14,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
398,Personal Assistant / Secretary,https://www.seek.co.nz/job/50564119?type=standard#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-04,Waitakere & West Auckland,Auckland,,,"$50,000 - $54,999"
399,Project Support Coordinator,https://www.seek.co.nz/job/50593014?type=standard#searchRequestToken=cb740e7f-4440-4c9b-9233-dce8abc885bd,2023-05-07,Auckland Central,Auckland,Administration & Office Support,Contracts Administration,
400,Data Scanning Operator - Fixed Term,https://www.seek.co.nz/job/50580417?type=standard#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-06,Auckland Central,Auckland,Administration & Office Support,Data Entry & Word Processing,
401,Administrator - Power Products Division,https://www.seek.co.nz/job/50565399?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-04,Manukau & East Auckland,Auckland,Administration & Office Support,Client & Sales Administration,
402,Temp Administrators,https://www.seek.co.nz/job/50609644?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-11,Hutt Valley,Wellington,Administration & Office Support,Data Entry & Word Processing,
403,Banking - Processor,https://www.seek.co.nz/job/50625346?type=standard#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-13,Auckland Central,Auckland,,,
404,Executive Assistant,https://www.seek.co.nz/job/50629630?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-14,Palmerston North,Manawatu,Administration & Office Support,"PA, EA & Secretarial",
405,Receptionist,https://www.seek.co.nz/job/50598303?type=standard#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-10,,Wellington,,,
406,Administration And Client Support,https://www.seek.co.nz/job/50539622?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-04-29,Rest of Hawkes Bay,Hawkes Bay,Administration & Office Support,Administrative Assistants,
407,Customer Solutions Associate - 18 Month Fixed-Term,https://www.seek.co.nz/job/50633283?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-14,Wellington Central,Wellington,Administration & Office Support,Client & Sales Administration,
408,Administrator,https://www.seek.co.nz/job/50577173?type=standard#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-05,,Wellington,Administration & Office Support,Administrative Assistants,
409,"Executive Assistant, Primary Health Care System Improvement & Innovation",https://www.seek.co.nz/job/50608308?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-11,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
410,Project Administrator,https://www.seek.co.nz/job/50589028?type=standard#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-07,Manukau & East Auckland,Auckland,Administration & Office Support,Contracts Administration,
411,Accounts Administrator,https://www.seek.co.nz/job/50578963?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-05,Rotorua,Bay of Plenty,Administration & Office Support,Other,
412,Executive Business Coordinator Cadetship - Graduate Opportunity!,https://www.seek.co.nz/job/50621110?type=standard#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-13,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
413,Kaiārahi,https://www.seek.co.nz/job/50600994?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-10,Christchurch,Canterbury,Administration & Office Support,Receptionists,
414,Project Coordinator,https://www.seek.co.nz/job/50632184?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-14,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
415,Dispatch Administrator,https://www.seek.co.nz/job/50554161?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-04-30,Auckland Central,Auckland,Administration & Office Support,Other,
416,Receptionist - Part-Time,https://www.seek.co.nz/job/50575192?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-05,Hastings,Hawkes Bay,Administration & Office Support,Receptionists,
417,Senior Administrator,https://www.seek.co.nz/job/50560541?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-05-03,Dunedin,Otago,Administration & Office Support,Office Management,
418,Administrator,https://www.seek.co.nz/job/50535871?type=standard#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-04-28,Palmerston North,Manawatu,Administration & Office Support,Other,
419,Office Manager - Tauranga Container Park,https://www.seek.co.nz/job/50548060?type=standout#searchRequestToken=54b2e49a-0626-4be8-a583-f9fc83b7ac7a,2023-04-30,Tauranga,Bay of Plenty,Administration & Office Support,Office Management,
420,Office Manager - Tauranga Container Park,https://www.seek.co.nz/job/50548060?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-04-30,Tauranga,Bay of Plenty,Administration & Office Support,Office Management,
421,Administration Assistant,https://www.seek.co.nz/job/50494550?type=standard#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-04-21,Tauranga,Bay of Plenty,Administration & Office Support,Administrative Assistants,
422,Financial Administrator - Organisation Wide,https://www.seek.co.nz/job/50565701?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-04,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
423,Senior Administration/Hseq Advisor,https://www.seek.co.nz/job/50584659?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-06,Rotorua,Bay of Plenty,Administration & Office Support,Other,
424,Senior Administration/Hseq Advisor - Rotorua,https://www.seek.co.nz/job/50584658?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-06,Tauranga,Bay of Plenty,Administration & Office Support,Other,
425,Junior Administration Assistant,https://www.seek.co.nz/job/50592994?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-07,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
426,Centre Manager - Centre For Arts And Social Transformation (Cast),https://www.seek.co.nz/job/50635794?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-14,Auckland Central,Auckland,Administration & Office Support,Office Management,
427,Coordination & Rostering Team Lead,https://www.seek.co.nz/job/50598483?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-10,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
428,Debt Collection Officer - Office Based,https://www.seek.co.nz/job/50526765?type=standard#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-04-27,Christchurch,Canterbury,Administration & Office Support,Other,
429,"Placement Specialist L Join A Growing, Kiwi-Owned Company!",https://www.seek.co.nz/job/50597660?type=standard#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-10,Queenstown & Wanaka,Otago,Administration & Office Support,Administrative Assistants,
430,Management Assistant (Fixed Term Parental Leave Cover),https://www.seek.co.nz/job/50588771?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-07,Wellington Central,Wellington,,,
431,Senior Administration/Hseq Advisor - Rotorua,https://www.seek.co.nz/job/50584660?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-06,Hamilton,Waikato,Administration & Office Support,Other,
432,File Prepper - Fixed Term,https://www.seek.co.nz/job/50580411?type=standard#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-06,Auckland Central,Auckland,Administration & Office Support,Data Entry & Word Processing,
433,Facilities And Security Co-Ordinator,https://www.seek.co.nz/job/50602227?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-10,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
434,Administration: Database Administrator,https://www.seek.co.nz/job/50517497?type=standard#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-04-26,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
435,Client Business Manager,https://www.seek.co.nz/job/50588159?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-07,Auckland Central,Auckland,Administration & Office Support,Office Management,
436,Client Business Manager,https://www.seek.co.nz/job/50588177?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-07,Wellington Central,Wellington,Administration & Office Support,Office Management,
437,Receptionist / Office Assistant,https://www.seek.co.nz/job/50508458?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-04-23,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
438,Committee Secretary,https://www.seek.co.nz/job/50576475?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-05-05,Palmerston North,Manawatu,Administration & Office Support,"PA, EA & Secretarial",
439,Team Assistant,https://www.seek.co.nz/job/50554370?type=standout#searchRequestToken=fa567c32-0e5d-4d65-bd3b-2bc2c2f84fd3,2023-04-30,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
440,"Credentialing Specialist L Join A Growing, Kiwi-Owned Company!",https://www.seek.co.nz/job/50597696?type=standard#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-10,Queenstown & Wanaka,Otago,Administration & Office Support,Administrative Assistants,
441,Asset And Maintenance Services Support Co-Ordinator,https://www.seek.co.nz/job/50580236?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-06,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
442,Office Manager - It Industry,https://www.seek.co.nz/job/50606620?type=standard#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-11,Rodney & North Shore,Auckland,,,$60k-$70k depending on experience!
443,Key Account Administrator,https://www.seek.co.nz/job/50591267?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-07,Wellington Central,Wellington,Administration & Office Support,Contracts Administration,
444,Casual Receptionist,https://www.seek.co.nz/job/50577091?type=standard#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-05,Auckland Central,Auckland,,,$22.00 - $23.00 phr
445,Content Coordinator,https://www.seek.co.nz/job/50588081?type=standard#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-07,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
446,Receptionist,https://www.seek.co.nz/job/50516951?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-04-25,Hutt Valley,Wellington,Administration & Office Support,Receptionists,
447,Payroll Administrator,https://www.seek.co.nz/job/50587836?type=standard#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-07,Tauranga,Bay of Plenty,Administration & Office Support,Administrative Assistants,
448,Part Time Receptionist,https://www.seek.co.nz/job/50540654?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-04-29,Hutt Valley,Wellington,Administration & Office Support,Receptionists,
449,Support Services Administrator - Finance (Pt - 20 Hours),https://www.seek.co.nz/job/50560314?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-03,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
450,Executive Assistant,https://www.seek.co.nz/job/50592106?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-07,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
451,Receptionist - Part Time,https://www.seek.co.nz/job/50528402?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-04-27,Manukau & East Auckland,Auckland,Administration & Office Support,Receptionists,
452,Administration Roles - Kiwi Lumber Gisborne,https://www.seek.co.nz/job/50526439?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-04-27,Gisborne,Gisborne,Administration & Office Support,Office Management,
453,Administration Coordinator,https://www.seek.co.nz/job/50519308?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-04-26,,Auckland,Administration & Office Support,Administrative Assistants,
454,Sales Support Administrator,https://www.seek.co.nz/job/50615514?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-12,Christchurch,Canterbury,Administration & Office Support,Client & Sales Administration,
455,Accounts/Admin Support Person,https://www.seek.co.nz/job/50548993?type=standard#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-04-30,Waitakere & West Auckland,Auckland,,,"$40,000 - $49,999"
456,Project Support - Administrators & Coordinators,https://www.seek.co.nz/job/50625808?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-13,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
457,Logistics And Customer Service - 6 Month Contract,https://www.seek.co.nz/job/50588115?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-07,,Auckland,Administration & Office Support,Other,
458,Pa/Executive Assistant,https://www.seek.co.nz/job/50598173?type=standard#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-10,Manukau & East Auckland,Auckland,,,$27 - $33 p.h. + 8% holiday pay
459,Tax And Compliance Administrator,https://www.seek.co.nz/job/50621413?type=standout#searchRequestToken=d4e9a3b6-98f4-4e9f-bd75-e9e7d4936920,2023-05-13,Auckland Central,Auckland,,,$60K - $80K experience dependent
460,Wairarapa Community Liaison,https://www.seek.co.nz/job/50564114?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-04,Rest of Wellington Region,Wellington,Administration & Office Support,Other,
461,Personal Assistant,https://www.seek.co.nz/job/50552552?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-04-30,Palmerston North,Manawatu,Administration & Office Support,"PA, EA & Secretarial",
462,Crisisline Coordinator,https://www.seek.co.nz/job/50565964?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-04,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
463,Pa/Legal Exec,https://www.seek.co.nz/job/50610515?type=standard#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-11,Auckland Central,Auckland,Administration & Office Support,"PA, EA & Secretarial",
464,Reception/Administrator,https://www.seek.co.nz/job/50556340?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-03,Rodney & North Shore,Auckland,,,$19 to $22 per hour
465,Scheduler Sales Support,https://www.seek.co.nz/job/50613694?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-12,Hamilton,Waikato,Administration & Office Support,Client & Sales Administration,
466,Executive Assistant,https://www.seek.co.nz/job/50583067?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-06,Rodney & North Shore,Auckland,Administration & Office Support,"PA, EA & Secretarial",
